Entity,Code,Day,unwillingness_covid_vaccinate_this_week_pct_pop,uncertain_covid_vaccinate_this_week_pct_pop,willingness_covid_vaccinate_this_week_pct_pop,people_vaccinated_per_hundred
Australia,AUS,2021-02-15,27.97,19.05,52.98,0
Australia,AUS,2021-03-15,27.74,19.82,51.82,0.62
Australia,AUS,2021-06-15,28.25,18.77,32.41,20.57
Australia,AUS,2021-07-15,25.65,15.68,30.99,27.68
Australia,AUS,2021-08-15,18.39,14.18,28.93,38.5
Australia,AUS,2021-09-15,17.52,9.15,16.96,56.37
Australia,AUS,2021-10-15,15.61,4.97,8.87,70.55
Canada,CAN,2020-12-15,31.35,19.8,48.85,0
Canada,CAN,2021-01-15,28.21,15.72,54.79,1.28
Canada,CAN,2021-02-15,27.47,15.83,54.14,2.56
Canada,CAN,2021-03-15,24.28,13.13,55.89,6.7
Canada,CAN,2021-04-15,24.49,11.7,41.87,21.94
Canada,CAN,2021-05-15,23.44,9.53,23.15,43.88
Canada,CAN,2021-06-15,20.26,6.58,8.33,64.83
Canada,CAN,2021-07-15,18.62,8.03,4.02,69.33
Canada,CAN,2021-08-15,17.25,6.84,3.94,71.97
Canada,CAN,2021-09-15,17.63,4.27,3.27,74.83
Canada,CAN,2021-10-15,17.04,3.1,2.32,77.54
Denmark,DNK,2021-01-15,18.23,15.17,63.94,2.66
Denmark,DNK,2021-02-15,16.47,10.41,69.01,4.11
Denmark,DNK,2021-03-15,20.36,11.47,58.3,9.87
Denmark,DNK,2021-04-15,17.78,9.71,55.2,17.31
Denmark,DNK,2021-05-15,18.73,11.61,41.65,28.01
Denmark,DNK,2021-06-15,14.69,10.38,26.33,48.6
Denmark,DNK,2021-07-15,16.61,5.62,11.78,65.99
Denmark,DNK,2021-08-15,16.3,5.32,3.98,74.4
Denmark,DNK,2021-09-15,16.42,4.04,3.26,76.28
France,FRA,2021-01-15,46.53,17.45,35.4,0.62
France,FRA,2021-02-15,42.46,14.67,39.24,3.63
France,FRA,2021-03-15,39.71,15.3,36.8,8.19
France,FRA,2021-04-15,35.71,14.5,31.58,18.21
France,FRA,2021-05-15,33.42,12.82,23.38,30.38
France,FRA,2021-06-15,35,9.85,8.96,46.19
France,FRA,2021-07-15,29.58,7.61,7.84,54.97
France,FRA,2021-08-15,23.21,4.38,3.63,68.78
France,FRA,2021-09-15,20.26,3.93,2.12,73.69
France,FRA,2021-10-15,20.46,1.62,2.76,75.16
Germany,DEU,2021-01-15,30.72,16.63,51.32,1.33
Germany,DEU,2021-02-15,25.85,13.35,57.4,3.4
Germany,DEU,2021-03-15,24.98,13.28,53.51,8.23
Germany,DEU,2021-04-15,21.4,12.85,47.24,18.51
Germany,DEU,2021-05-15,19.33,10.86,33.07,36.74
Germany,DEU,2021-06-15,22.93,8.88,19.09,49.1
Germany,DEU,2021-07-15,24.12,8.09,8.32,59.47
Germany,DEU,2021-08-15,24.01,6.71,6.28,63
Germany,DEU,2021-09-15,24.04,5.39,4.22,66.35
Germany,DEU,2021-10-15,24.2,4.92,2.67,68.21
Italy,ITA,2021-01-15,26.23,17.66,54.24,1.87
Italy,ITA,2021-02-15,22.4,15.67,58.91,3.02
Italy,ITA,2021-03-15,24.82,13.24,53.69,8.25
Italy,ITA,2021-04-15,23.39,12.04,47.47,17.1
Italy,ITA,2021-05-15,19.3,10.5,38.6,31.6
Italy,ITA,2021-06-15,18.05,9.41,22.42,50.12
Italy,ITA,2021-07-15,19.99,9.29,10.42,60.3
Italy,ITA,2021-08-15,18.78,6.45,7.19,67.58
Italy,ITA,2021-09-15,17.58,5.2,4.27,72.95
Italy,ITA,2021-10-15,17.45,3.16,2.97,76.42
Japan,JPN,2021-03-15,21.43,25.07,53.28,0.22
Japan,JPN,2021-04-15,19.5,24.04,55.51,0.95
Japan,JPN,2021-05-15,15.81,21.82,58.13,4.24
Japan,JPN,2021-06-15,13.97,18.54,49.23,18.26
Japan,JPN,2021-07-15,13.54,15.13,36.56,34.77
Japan,JPN,2021-08-15,11.74,9.63,28.9,49.73
Netherlands,NLD,2021-02-15,20.52,16.81,58.65,4.02
