areaCode,areaName,areaType,date,age,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationCompleteCoverageByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E92000001,England,nation,2021-11-03,12_15,2875868.0,8711.0,318.0,727731.0,24396.0,8711.0,318.0,25.3,0.3,0.3
E92000001,England,nation,2021-11-03,16_17,1366614.0,153919.0,1282.0,775217.0,1311.0,153919.0,1282.0,56.7,11.3,11.3
E92000001,England,nation,2021-11-03,18_24,5300080.0,3017095.0,4132.0,3561010.0,2003.0,3017095.0,4132.0,67.2,56.9,56.9
E92000001,England,nation,2021-11-03,25_29,4488384.0,2576861.0,2516.0,2915916.0,1363.0,2576861.0,2516.0,65.0,57.4,57.4
E92000001,England,nation,2021-11-03,30_34,4804432.0,2922555.0,2075.0,3229651.0,1111.0,2922555.0,2075.0,67.2,60.8,60.8
E92000001,England,nation,2021-11-03,35_39,4569685.0,3018013.0,1547.0,3254893.0,763.0,3018013.0,1547.0,71.2,66.0,66.0
E92000001,England,nation,2021-11-03,40_44,4198356.0,3037223.0,959.0,3211711.0,547.0,3037223.0,959.0,76.5,72.3,72.3
E92000001,England,nation,2021-11-03,45_49,3987153.0,3130985.0,688.0,3262913.0,313.0,3130985.0,688.0,81.8,78.5,78.5
E92000001,England,nation,2021-11-03,50_54,4241557.0,3556708.0,493.0,3665264.0,267.0,3556708.0,493.0,86.4,83.9,83.9
E92000001,England,nation,2021-11-03,55_59,4117010.0,3559196.0,407.0,3657317.0,196.0,3559196.0,407.0,88.8,86.5,86.5
E92000001,England,nation,2021-11-03,60_64,3506011.0,3102001.0,263.0,3176740.0,137.0,3102001.0,263.0,90.6,88.5,88.5
