"date","fips","mmwr_week","recip_county","recip_state","series_complete_pop_pct","series_complete_yes","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","completeness_pct","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_12plus","administered_dose1_recip_12pluspop_pct","administered_dose1_recip_18plus","administered_dose1_recip_18pluspop_pct","administered_dose1_recip_65plus","administered_dose1_recip_65pluspop_pct","svi_ctgy","series_complete_pop_pct_svi","series_complete_12pluspop_pct_svi","series_complete_18pluspop_pct_svi","series_complete_65pluspop_pct_svi","metro_status","series_complete_pop_pct_ur_equity","series_complete_12pluspop_pct_ur_equity","series_complete_18pluspop_pct_ur_equity","series_complete_65pluspop_pct_ur_equity"
"2021-11-04T00:00:00.000","01037","44","Coosa County","AL","36.1","3854","3854","40.4","3741","42","1574","61.3","92.6","4623","43.4","4622","48.5","4477","50.2","1831","71.3","C","10","11","11","11","Non-metro","6","7","7","7"
"2021-11-04T00:00:00.000","28003","44","Alcorn County","MS","35","12921","12920","40.8","12433","43.4","4610","66.2","98.3","14785","40","14781","46.7","14149","49.4","5029","72.2","C","10","11","11","11","Non-metro","6","7","7","7"
"2021-11-04T00:00:00.000","13123","44","Gilmer County","GA","14","4405","4405","16.0","4132","16.2","1315","16.4","58.1","4587","14.6",,"0.0",,"0",,"0","C","9","9","9","9","Non-metro","5","5","5","5"
"2021-11-04T00:00:00.000","47029","44","Cocke County","TN","45.4","16344","16344","52.2","15826","55.1","6087","78.3","97.9","18305","50.8","18303","58.4","17638","61.4","6461","83.1","C","11","12","12","12","Non-metro","7","8","8","8"
"2021-11-04T00:00:00.000","18089","44","Lake County","IN","50.9","247170","247155","59.8","231767","62.2","69274","84.3","98.7","268681","55.3","268656","65.0","250962","67.3","72700","88.4","C","12","12","12","12","Metro","4","4","4","4"
"2021-11-04T00:00:00.000","28035","44","Forrest County","MS","37.3","27969","27968","44.4","26401","45.9","7115","68.3","98.3","32298","43.1","32296","51.3","30366","52.8","7586","72.9","D","14","15","15","15","Metro","2","3","3","3"
"2021-11-04T00:00:00.000","36011","44","Cayuga County","NY","53.8","41223","41221","61.6","38678","62.7","11776","77.5","97.6","43496","56.8","43490","64.9","40746","66.1","12361","81.4","C","12","12","12","12","Non-metro","8","8","8","8"
"2021-11-04T00:00:00.000","08035","44","Douglas County","CO","65.1","228576","227797","76.6","205974","78.4","41053","94.2","97.3","243595","69.4","242542","81.6","219470","83.5","43741","99.9","A","4","4","4","4","Metro","4","4","4","4"
"2021-11-04T00:00:00.000","55093","44","Pierce County","WI","39.8","17007","17007","45.7","16095","47.4","5414","83","96.9","18421","43.1","18420","49.5","17413","51.3","5698","87.4","A","2","3","3","4","Metro","2","3","3","4"
"2021-11-04T00:00:00.000","40147","44","Washington County","OK","38.4","19799","19799","45.6","18670","47.5","6826","67","93.9","24385","47.3","24384","56.1","22955","58.4","8447","82.9","B","6","7","7","7","Non-metro","6","7","7","7"
"2021-11-04T00:00:00.000","54035","44","Jackson County","WV","17.7","5071","5068","20.5","4759","21.1","1848","31","60","6425","22.5","6421","26.0","6025","26.7","2133","35.8","B","5","5","5","6","Non-metro","5","5","5","6"
"2021-11-04T00:00:00.000","20179","44","Sheridan County","KS","33","831","831","39.0","810","42.5","366","61.2","93.6","907","36","907","42.6","883","46.4","388","64.9","A","2","2","3","3","Non-metro","6","6","7","7"
"2021-11-04T00:00:00.000","13221","44","Oglethorpe County","GA","27","4127","4127","31.2","3881","32.1","1428","48.3","58.1","4466","29.3","4466","33.8","4173","34.5","1484","50.2","C","9","10","10","10","Metro","1","2","2","2"
"2021-11-04T00:00:00.000","17051","44","Fayette County","IL","32.1","6842","6842","37.1","6630","39.2","2742","66.3","96.9","7453","34.9","7450","40.4","7211","42.7","2903","70.2","C","10","10","10","11","Non-metro","6","6","6","7"
"2021-11-04T00:00:00.000","51183","44","Sussex County","VA","33.7","3760","3759","37.5","3682","38.9","1261","60.9","82.6","4420","39.6","4417","44.0","4299","45.4","1380","66.7","D","14","14","14","15","Metro","2","2","2","3"
"2021-11-04T00:00:00.000","20105","44","Lincoln County","KS","40.6","1204","1204","46.9","1170","50.5","551","73.2","93.6","1301","43.9","1301","50.7","1265","54.6","578","76.8","A","3","3","4","4","Non-metro","7","7","8","8"
"2021-11-04T00:00:00.000","11001","44","District of Columbia","DC","59.8","422280","422227","69.2","403483","69.9","73000","83.6","95.2","511635","72.5","511526","83.9","485730","84.1","84918","97.2","C","12","12","12","12","Metro","4","4","4","4"
"2021-11-04T00:00:00.000","47079","44","Henry County","TN","42.6","13772","13772","48.9","13296","51.6","5789","75.3","97.9","15360","47.5","15359","54.5","14788","57.4","6169","80.3","C","11","11","12","12","Non-metro","7","7","8","8"
"2021-11-04T00:00:00.000","40003","44","Alfalfa County","OK","42.1","2403","2403","48.6","2378","51.7","822","71.2","93.9","2619","45.9","2618","52.9","2576","56","889","77","B","7","7","8","8","Non-metro","7","7","8","8"
"2021-11-04T00:00:00.000","39085","44","Lake County","OH","59.1","135977","135974","67.4","128322","69.5","41713","88.1","98.6","143614","62.4","143611","71.2","135228","73.2","43301","91.4","A","4","4","4","4","Metro","4","4","4","4"
"2021-11-04T00:00:00.000","54059","44","Mingo County","WV","24.4","5705","5704","28.6","5506","30.3","2100","45.3","60","7185","30.7","7184","36.1","6909","38","2463","53.1","D","13","13","14","14","Non-metro","5","5","6","6"
"2021-11-04T00:00:00.000","48309","44","McLennan County","TX","45.9","117788","117781","54.9","110658","57.1","28802","76.3","99.1","135644","52.9","135575","63.2","126963","65.5","32508","86.2","D","15","16","16","16","Metro","3","4","4","4"
"2021-11-04T00:00:00.000","16053","44","Jerome County","ID","36","8788",,,"8785","51.8","2460","76.1","97.6","9962","40.8",,,"9959","58.7","2650","82","C","10",,"12","12","Non-metro","6",,"8","8"
"2021-11-04T00:00:00.000","37185","44","Warren County","NC","49.7","9814","9811","56.1","9412","58.1","3588","69.4","97.3","11348","57.5","11344","64.9","10830","66.9","4104","79.3","D","15","16","16","15","Non-metro","7","8","8","7"
"2021-11-04T00:00:00.000","20003","44","Anderson County","KS","38.8","3051","3051","46.6","2925","50.1","1172","69.5","93.6","3409","43.4","3409","52.1","3252","55.7","1257","74.5","A","2","3","4","3","Non-metro","6","7","8","7"
"2021-11-04T00:00:00.000","27121","44","Pope County","MN","51.1","5747","5740","59.4","5468","61.5","2350","84.4","94.4","6068","53.9","6059","62.7","5759","64.8","2444","87.8","A","4","4","4","4","Non-metro","8","8","8","8"
"2021-11-04T00:00:00.000","47013","44","Campbell County","TN","39","15528","15528","44.8","15042","47.4","5822","69.6","97.9","17889","44.9","17886","51.6","17273","54.4","6368","76.2","C","10","11","11","11","Metro","2","3","3","3"
"2021-11-04T00:00:00.000","47007","44","Bledsoe County","TN","31.6","4761","4761","34.7","4635","36","1781","62.7","97.9","5552","36.9","5549","40.5","5393","41.9","1976","69.6","D","14","14","14","15","Non-metro","6","6","6","7"
"2021-11-04T00:00:00.000","25009","44","Essex County","MA","65.4","515978","514705","75.6","474062","76.2","119327","86.1","89.6","584061","74","582190","85.5","535938","86.1","141045","99.9","C","12","12","12","12","Metro","4","4","4","4"
"2021-11-04T00:00:00.000","48025","44","Bee County","TX","44.8","14590","14590","52.0","13815","53.7","3289","80.4","99.1","17104","52.5","17095","60.9","16086","62.5","3575","87.4","D","15","16","16","16","Non-metro","7","8","8","8"
"2021-11-04T00:00:00.000","48009","44","Archer County","TX","43.7","3737","3737","50.5","3596","53.6","1245","74.2","99.1","4074","47.6","4074","55.1","3909","58.3","1311","78.2","A","3","4","4","4","Metro","3","4","4","4"
"2021-11-04T00:00:00.000","32027","44","Pershing County","NV","32.6","2192","2192","36.7","2130","37.8","533","48.3","94.9","2541","37.8","2541","42.5","2458","43.6","576","52.2","D","14","14","14","14","Non-metro","6","6","6","6"
"2021-11-04T00:00:00.000","39057","44","Greene County","OH","58.6","98999","98997","67.8","93418","69.6","26395","89.1","98.6","110013","65.1","110011","75.4","103833","77.4","28571","96.4","A","4","4","4","4","Metro","4","4","4","4"
"2021-11-04T00:00:00.000","28085","44","Lincoln County","MS","35","11970","11969","41.4","11265","43","3978","66.7","98.3","13723","40.2","13718","47.4","12881","49.2","4326","72.5","D","14","15","15","15","Non-metro","6","7","7","7"
"2021-11-04T00:00:00.000","06107","44","Tulare County","CA","44.9","209295","209020","56.1","191303","59","41372","76.2","97.4","245344","52.6","244805","65.7","223289","68.9","46805","86.2","D","15","16","16","16","Metro","3","4","4","4"
"2021-11-04T00:00:00.000","31023","44","Butler County","NE","46.3","3714","3714","54.4","3547","57.5","1353","79.2","89.8",,"0",,"0.0",,"0",,"0","A","3","4","4","4","Non-metro","7","8","8","8"
"2021-11-04T00:00:00.000","28151","44","Washington County","MS","44.5","19521","19519","53.7","18379","56.2","6077","83","98.3","22395","51","22390","61.6","20926","64","6495","88.7","D","15","16","16","16","Non-metro","7","8","8","8"
"2021-11-04T00:00:00.000","27167","44","Wilkin County","MN","50.3","3120","3114","58.8","2945","61.2","1112","91.1","94.4","3476","56","3463","65.4","3268","67.9","1259","99.9","A","4","4","4","4","Non-metro","8","8","8","8"
"2021-11-04T00:00:00.000","12055","44","Highlands County","FL","46.8","49695","49694","52.6","48129","54.5","26529","69.3","98.7","61496","57.9","61487","65.0","59646","67.5","33076","86.4","D","15","16","16","15","Metro","3","4","4","3"
"2021-11-04T00:00:00.000","18147","44","Spencer County","IN","41.2","8354","8354","47.8","7978","50.2","2883","71.2","98.7","9040","44.6","9040","51.7","8606","54.2","3037","75","A","3","3","4","4","Non-metro","7","7","8","8"
"2021-11-04T00:00:00.000","19159","44","Ringgold County","IA","47.7","2332","2332","55.4","2226","58.9","1015","83.6","97.4","2477","50.6","2476","58.9","2367","62.7","1058","87.1","A","3","4","4","4","Non-metro","7","8","8","8"
"2021-11-04T00:00:00.000","40013","44","Bryan County","OK","38.1","18265","18264","45.1","17525","47.6","6146","71.1","93.9","21370","44.5","21366","52.8","20413","55.4","6985","80.8","D","14","15","15","16","Non-metro","6","7","7","8"
"2021-11-04T00:00:00.000","13311","44","White County","GA","12.1","3716","3716","13.7","3473","14","969","13.5","58.1","3834","12.4",,"0.0",,"0",,"0","A","1","1","1","1","Non-metro","5","5","5","5"
"2021-11-04T00:00:00.000","42081","44","Lycoming County","PA","49.3","55808","55805","56.8","53671","59.5","20148","89.7","94.5","65042","57.4","65039","66.2","62383","69.2","23362","99.9","B","7","8","8","8","Metro","3","4","4","4"
"2021-11-04T00:00:00.000","31047","44","Dawson County","NE","42.3","9976","9973","51.5","9105","52.9","2195","54.2","89.8","10014","42.4",,"0.0",,"0",,"0","D","15","16","16","15","Non-metro","7","8","8","7"
"2021-11-04T00:00:00.000","20197","44","Wabaunsee County","KS","42.8","2967","2967","50.3","2814","52.7","1085","74.8","93.6","3203","46.2","3203","54.3","3033","56.8","1132","78.1","A","3","4","4","4","Metro","3","4","4","4"
"2021-11-04T00:00:00.000","21133","44","Letcher County","KY","48.8","10522","10522","57.0","9968","59.1","3140","73.2","94","11491","53.3","11490","62.2","10843","64.2","3265","76.1","D","15","16","16","16","Non-metro","7","8","8","8"
"2021-11-04T00:00:00.000","54107","44","Wood County","WV","39.7","33183","33177","46.0","31654","47.9","12362","70.8","60","39923","47.8","39912","55.3","37925","57.4","14122","80.9","B","6","7","7","8","Metro","2","3","3","4"
"2021-11-04T00:00:00.000","35051","44","Sierra County","NM","60.3","6506","6506","67.6","6283","69.1","3096","76.7","97.2","7211","66.8","7210","74.9","6948","76.4","3360","83.2","D","16","16","16","16","Non-metro","8","8","8","8"
"2021-11-04T00:00:00.000","01095","44","Marshall County","AL","40.6","39249","39249","48.7","37472","51.7","12917","77.1","92.6","47639","49.2","47638","59.1","45209","62.4","14683","87.7","C","11","11","12","12","Non-metro","7","7","8","8"
