"date","mmwr_week","location","distributed","distributed_janssen","distributed_moderna","distributed_pfizer","distributed_unk_manuf","dist_per_100k","distributed_per_100k_12plus","distributed_per_100k_18plus","distributed_per_100k_65plus","administered","administered_12plus","administered_18plus","administered_65plus","administered_janssen","administered_moderna","administered_pfizer","administered_unk_manuf","admin_per_100k","admin_per_100k_12plus","admin_per_100k_18plus","admin_per_100k_65plus","recip_administered","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_1","administered_dose1_recip_2","administered_dose1_recip_3","administered_dose1_recip_4","administered_dose1_recip_5","administered_dose1_recip_6","series_complete_yes","series_complete_pop_pct","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","series_complete_janssen","series_complete_moderna","series_complete_pfizer","series_complete_unk_manuf","series_complete_janssen_12plus","series_complete_moderna_12plus","series_complete_pfizer_12plus","series_complete_unk_manuf_1","series_complete_janssen_18plus","series_complete_moderna_18plus","series_complete_pfizer_18plus","series_complete_unk_manuf_2","series_complete_janssen_65plus","series_complete_moderna_65plus","series_complete_pfizer_65plus","series_complete_unk_manuf_3","additional_doses","additional_doses_vax_pct","additional_doses_18plus","additional_doses_18plus_vax_pct","additional_doses_50plus","additional_doses_50plus_vax_pct","additional_doses_65plus","additional_doses_65plus_vax_pct","additional_doses_moderna","additional_doses_pfizer","additional_doses_janssen","additional_doses_unk_manuf"
"2021-11-04T00:00:00.000","44","NE","2902640","130900","1083700","1649940","38100","150053","179462","199038","928970","2364098","2363712","2204845","672333","81727","858364","1418983","5024","122213","146142","151189","215175","2372388","1183677","61.2","1183385","73.2","1099725","75.4","293609","94","1090624","56.4","1090530","67.4","1015898","69.7","278327","89.1","80945","391733","616608","1338","80927","391709","616558","1336","80871","391576","542169","1282","6570","135221","135705","831","144824","13.3","144644","14.2","116601","21.7","89347","32.1","32573","111439","736","76"
"2021-11-04T00:00:00.000","44","MO","8642875","362200","3405240","4852035","23400","140822","165075","181312","813802","6866180","6865737","6469601","2056690","215553","2433510","4214821","2296","111874","131133","135721","193655","6781997","3504506","57.1","3504090","66.9","3291140","69","953074","89.7","3064276","49.9","3064201","58.5","2884153","60.5","856179","80.6","215557","1077734","1770466","519","215533","1077721","1770428","519","215315","1077331","1591087","420","37962","388456","429591","170","378668","12.4","378247","13.1","316949","19.3","241231","28.2","92734","284016","1887","31"
"2021-11-04T00:00:00.000","44","IA","4791355","240300","1872760","2625495","52800","151862","179030","197319","866502","3796829","3796765","3569844","1188141","152059","1498023","2146344","403","120341","141867","147014","214872","3794460","1889389","59.9","1889299","70.6","1770344","72.9","523075","94.6","1758689","55.7","1758663","65.7","1652556","68.1","497291","89.9","148451","677805","932187","246","148449","677800","932168","246","148369","677611","826331","245","13692","260943","222548","108","269243","15.3","269013","16.3","228041","24.3","175245","35.2","93554","174232","1455","2"
"2021-11-04T00:00:00.000","44","WI","8581805","387300","3316400","4786605","91500","147392","171643","188369","843634","7455498","7454976","7010206","2263923","286354","2810264","4357571","1309","128048","149106","153873","222555","7429068","3665028","62.9","3664463","73.3","3430041","75.3","984976","96.8","3407176","58.5","3406978","68.1","3200773","70.3","935918","92","276421","1263758","1866533","464","276403","1263742","1866369","464","276222","1263434","1660672","445","28906","450132","456681","199","513504","15.1","513029","16","417180","22.9","313075","33.5","120482","390522","2462","38"
"2021-11-04T00:00:00.000","44","DC","1342055","62100","516320","755235","8400","190160","220098","232358","1536530","1085640","1085541","1043757","210587","31962","397089","656132","457","153828","178029","180712","241103","991610","532573","75.5","532453","87.3","506298","87.7","87377","100","443408","62.8","443354","72.7","424485","73.5","75379","86.3","35708","159330","248074","296","35705","159323","248033","293","35687","159262","229259","277","2585","40275","32466","53","39229","8.8","39176","9.2","26433","15.9","18609","24.7","12307","26758","159","5"
"2021-11-04T00:00:00.000","44","AR","4541840","214800","1972640","2294100","60300","150501","177607","195968","866959","3287738","3282429","3069631","955011","103012","1400642","1781023","3061","108945","128358","132446","182295","3313951","1757784","58.2","1753920","68.6","1635813","70.6","466058","89","1454573","48.2","1453058","56.8","1357785","58.6","397949","76","101405","614304","738092","772","101286","614293","736709","770","100888","613200","642958","739","14630","223525","159365","429","175951","12.1","175722","12.9","143660","18.8","107171","26.9","59127","115546","899","379"
"2021-11-04T00:00:00.000","44","NC","16498620","800400","6419160","9068460","210600","157308","183613","201513","942189","12535459","12522061","11758981","3525537","435689","4602641","7496321","808","119521","139358","143623","201333","12418892","6828604","65.1","6820310","75.9","6405724","78.2","1838962","99.9","5543800","52.9","5538727","61.6","5199502","63.5","1435052","82","425339","1989768","3128583","110","425320","1989710","3123587","110","423953","1986874","2788567","108","48113","685728","701162","49","422242","7.6","421897","8.1","338410","11.9","240939","16.8","117772","301028","3435","7"
"2021-11-04T00:00:00.000","44","MH","58310","11300","43500","3510","0","99824","116891","128162","589168","42528","42485","41431","2394","2190","39284","1052","2","72806","85168","91063","24189","42583","24116","41.3","24083","48.3","23148","50.9","1323","13.4","20293","34.7","20282","40.7","20245","44.5","1156","11.7","2181","18086","25","1","2178","18078","25","1","2172","18056","16","1","100","1055","1","0","105","0.5","105","0.5","43","0.9","10","0.9","102","3","0","0"
"2021-11-04T00:00:00.000","44","VI","117520","1800","31840","83280","600","112266","131461","144138","662570","110005","109912","104626","30491","1542","29300","79163","0","105087","122951","128324","171906","107569","56140","53.6","56074","62.7","53204","65.3","15292","86.2","49338","47.1","49310","55.2","46919","57.5","13831","78","1479","13085","34770","4","1476","13077","34753","4","1473","13059","32383","4","456","5117","8254","4","3295","6.7","3294","7","2828","9.9","1946","14.1","655","2631","9","0"
"2021-11-04T00:00:00.000","44","AL","7354360","340000","3294600","3717360","2400","149991","175653","192781","865385","4926067","4925593","4676608","1521397","145343","2153753","2626804","167","100467","117644","122589","179022","5018003","2685449","54.8","2685028","64.1","2543761","66.7","757850","89.2","2204677","45","2204587","52.7","2096754","55","655212","77.1","145636","938876","1119692","473","145627","938865","1119622","473","145553","938435","1012294","472","34866","347018","273015","313","247798","11.2","247426","11.8","212350","16.9","160047","24.4","97179","148347","2262","10"
