,fips,county,state,vaccinated
0,17067,Hancock County,IL,40.7
1,17187,Warren County,IL,42.8
2,38043,Kidder County,ND,29.1
3,21025,Breathitt County,KY,46.1
4,39165,Warren County,OH,56.8
5,26005,Allegan County,MI,47.1
6,29197,Schuyler County,MO,25.8
7,40057,Harmon County,OK,44.1
8,19093,Ida County,IA,44.9
9,51003,Albemarle County,VA,59.4
10,17003,Alexander County,IL,26.0
11,41049,Morrow County,OR,48.7
12,55009,Brown County,WI,57.5
13,48319,Mason County,TX,43.2
14,18129,Posey County,IN,43.8
15,45067,Marion County,SC,43.5
16,17109,McDonough County,IL,39.9
17,06035,Lassen County,CA,32.7
18,13053,Chattahoochee County,GA,99.9
19,39069,Henry County,OH,48.9
20,27049,Goodhue County,MN,58.3
21,49013,Duchesne County,UT,36.7
22,38039,Griggs County,ND,42.9
23,51125,Nelson County,VA,53.1
25,45045,Greenville County,SC,48.7
26,38045,LaMoure County,ND,44.3
27,29181,Ripley County,MO,25.9
28,39085,Lake County,OH,58.8
29,31021,Burt County,NE,52.3
30,17165,Saline County,IL,39.5
31,19091,Humboldt County,IA,45.4
32,51710,Norfolk city,VA,47.8
33,13067,Cobb County,GA,39.1
34,36015,Chemung County,NY,52.9
35,17135,Montgomery County,IL,40.6
36,53067,Thurston County,WA,58.7
37,21075,Fulton County,KY,51.2
38,26001,Alcona County,MI,54.5
39,05133,Sevier County,AR,40.1
40,72011,Anasco Municipio,PR,68.2
41,47147,Robertson County,TN,45.9
42,29179,Reynolds County,MO,23.1
43,13117,Forsyth County,GA,22.8
44,36021,Columbia County,NY,67.2
45,17083,Jersey County,IL,48.3
46,46119,Sully County,SD,39.5
47,55031,Douglas County,WI,38.5
48,37157,Rockingham County,NC,44.4
49,40117,Pawnee County,OK,44.0
50,16029,Caribou County,ID,32.9
51,48211,Hemphill County,TX,37.7
52,26069,Iosco County,MI,52.2
53,26141,Presque Isle County,MI,56.5
54,56013,Fremont County,WY,55.1
55,19005,Allamakee County,IA,48.3
56,13165,Jenkins County,GA,22.0
58,05073,Lafayette County,AR,37.6
59,05089,Marion County,AR,32.1
60,17059,Gallatin County,IL,45.2
61,27103,Nicollet County,MN,55.6
62,21165,Menifee County,KY,42.0
63,26045,Eaton County,MI,52.1
64,46059,Hand County,SD,42.9
65,29153,Ozark County,MO,28.0
66,40121,Pittsburg County,OK,39.9
67,49017,Garfield County,UT,49.4
68,49003,Box Elder County,UT,41.6
69,08013,Boulder County,CO,69.7
70,48245,Jefferson County,TX,44.9
71,16083,Twin Falls County,ID,39.9
72,20051,Ellis County,KS,44.8
73,42031,Clarion County,PA,41.1
74,47083,Houston County,TN,36.6
75,30079,Prairie County,MT,34.5
76,40019,Carter County,OK,38.5
77,72025,Caguas Municipio,PR,71.6
78,34013,Essex County,NJ,61.1
79,19103,Johnson County,IA,64.8
80,37041,Chowan County,NC,47.4
81,54029,Hancock County,WV,23.0
82,05057,Hempstead County,AR,33.6
83,17001,Adams County,IL,45.1
84,18021,Clay County,IN,51.3
85,37161,Rutherford County,NC,36.4
86,05025,Cleveland County,AR,47.3
87,26155,Shiawassee County,MI,47.1
88,51775,Salem city,VA,46.6
89,49055,Wayne County,UT,46.9
90,01027,Clay County,AL,37.6
91,02230,Skagway Municipality,AK,66.9
92,48433,Stonewall County,TX,36.7
93,06093,Siskiyou County,CA,48.0
94,26161,Washtenaw County,MI,65.8
95,37101,Johnston County,NC,45.5
96,18013,Brown County,IN,46.5
97,51009,Amherst County,VA,43.3
98,39163,Vinton County,OH,35.6
99,40131,Rogers County,OK,41.2
100,28109,Pearl River County,MS,40.8
101,46053,Gregory County,SD,45.0
102,51167,Russell County,VA,42.6
103,48223,Hopkins County,TX,35.6
104,31031,Cherry County,NE,30.8
105,23021,Piscataquis County,ME,56.6
106,20145,Pawnee County,KS,48.4
107,48083,Coleman County,TX,33.7
108,21037,Campbell County,KY,67.3
109,40105,Nowata County,OK,36.7
110,22039,Evangeline Parish,LA,34.2
111,51730,Petersburg city,VA,33.2
112,17149,Pike County,IL,34.9
113,31157,Scotts Bluff County,NE,36.1
114,01091,Marengo County,AL,49.1
115,05021,Clay County,AR,41.5
116,18119,Owen County,IN,39.3
117,16027,Canyon County,ID,36.6
118,13143,Haralson County,GA,15.1
119,21121,Knox County,KY,32.8
120,28075,Lauderdale County,MS,45.5
121,72059,Guayanilla Municipio,PR,72.5
122,47033,Crockett County,TN,42.3
123,20019,Chautauqua County,KS,37.2
124,18045,Fountain County,IN,42.4
125,37045,Cleveland County,NC,43.4
126,72077,Juncos Municipio,PR,66.1
127,13091,Dodge County,GA,11.4
128,27121,Pope County,MN,50.7
129,12063,Jackson County,FL,37.4
130,42133,York County,PA,54.9
131,29135,Moniteau County,MO,32.9
132,01067,Henry County,AL,39.8
133,20107,Linn County,KS,32.1
134,29019,Boone County,MO,55.1
135,41057,Tillamook County,OR,60.1
136,20047,Edwards County,KS,43.3
137,18037,Dubois County,IN,52.2
138,20011,Bourbon County,KS,33.4
139,27069,Kittson County,MN,52.0
140,08083,Montezuma County,CO,55.0
141,28099,Neshoba County,MS,35.5
142,48155,Foard County,TX,38.8
143,05071,Johnson County,AR,44.0
144,31149,Rock County,NE,33.0
145,21197,Powell County,KY,48.9
146,24021,Frederick County,MD,67.3
147,54079,Putnam County,WV,17.2
148,29213,Taney County,MO,36.8
149,13129,Gordon County,GA,15.8
150,33013,Merrimack County,NH,62.9
151,51690,Martinsville city,VA,39.1
152,45047,Greenwood County,SC,44.0
153,23011,Kennebec County,ME,63.3
154,42011,Berks County,PA,55.5
155,47059,Greene County,TN,42.0
156,48065,Carson County,TX,31.5
157,47019,Carter County,TN,36.1
158,01099,Monroe County,AL,39.0
159,05141,Van Buren County,AR,38.8
160,22017,Caddo Parish,LA,43.2
161,21217,Taylor County,KY,48.5
162,27169,Winona County,MN,53.4
163,33001,Belknap County,NH,56.4
164,27065,Kanabec County,MN,36.5
165,39115,Morgan County,OH,37.6
166,23029,Washington County,ME,63.8
